SMILES,HOMO,LUMO,E_gap,E_st
C12=C(c3c([C]1SC(=C2)c1ccc(c2c4c(c(c5c2nc(c(n5)c2cc(ccc2)C)c2cccc(c2)C)c2ccc(c5sc6[C]7C(=C(c6c5)[CH]c5cc(cc(c5)OC)OC)C=C(S7)c5ccc(c6c7c(c(c8c6nc(c(n8)c6cc(ccc6)C)c6cccc(c6)C)c6ccc[se]6)nsn7)[se]5)[se]2)nsn4)[se]1)scc3)[CH]c1cc(cc(c1)OC)OC,-4.303210796,-3.256660352,1.046550444,0.280198507
C12=C(c3c([C]1SC(=C2)c1c(c(c(c2c4c(c(c5c2nc(c(n5)c2cc(ccc2)C)c2cccc(c2)C)c2c(c(c(s2)c2sc5[C]6C(=C(c5c2)[CH]c2cc(cc(c2)OC)OC)C=C(S6)c2c(c(c(c5c6c(c(c7c5nc(c(n7)c5cccc(c5)C)c5cc(ccc5)C)c5c(c(cs5)OC)OC)nsn6)s2)OC)OC)OC)OC)nsn4)s1)OC)OC)scc3)[CH]c1cc(cc(c1)OC)OC,-4.380763286,-2.98236944,1.398393846,0.591194876
C12=C(c3c([C]1SC(=C2)c1c(c(c(c2c4c(c(c5c2nc(c(n5)c2cc(ccc2)C)c2cccc(c2)C)c2c(c(c(c5sc6[C]7C(=C(c6c5)[CH]c5cc(cc(c5)OC)OC)C=C(S7)c5c(c(c(c6c7c(c(c8c6nc(c(n8)c6cccc(c6)C)c6cc(ccc6)C)c6c(c(c[se]6)OC)OC)nsn7)[se]5)OC)OC)[se]2)OC)OC)nsn4)[se]1)OC)OC)scc3)[CH]c1cc(cc(c1)OC)OC,-4.345116352,-3.030261504,1.314854848,0.437586523
C12=C(c3c([C]1SC(=C2)c1c(c(c(c2c4c(c(c5c2nc(c(n5)c2cc(ccc2)C)c2cccc(c2)C)c2c(c(c(s2)c2sc5[C]6C(=C(c5c2)[CH]c2cc(cc(c2)OC)OC)C=C(S6)c2c(c(c(c5c6c(c(c7c5nc(c(n7)c5cc(ccc5)C)c5cccc(c5)C)c5c(c(cs5)F)F)nsn6)s2)F)F)F)F)nsn4)s1)F)F)scc3)[CH]c1cc(cc(c1)OC)OC,-4.681993484,-3.271898736,1.410094748,0.579343495
c12c(-c3c(ccs3)/C/2=C/c2cc(cc(c2)OC)OC)sc(c1)c1c(c(c(c2c3c(c(c4c2nc(c(n4)c2cc(ccc2)C)c2cccc(c2)C)c2c(c(c(c4sc5-c6c(cc(s6)c6c(c(c(c7c8c(c(c9c7nc(c(n9)c7cc(ccc7)C)c7cccc(c7)C)c7c(c(c[se]7)F)F)nsn8)[se]6)F)F)/C(=C\c6cc(cc(c6)OC)OC)/c5c4)[se]2)F)F)nsn3)[se]1)F)F,-4.59736603,-3.348906998,1.248459032,0.436223232
C12=C(c3c([C]1SC(=C2)c1ccc(c2c4c(c(c5c2nc(c(n5)c2ccc(cc2)C)c2ccc(cc2)C)c2ccc(c5sc6[C]7C(=C(c6c5)[CH]c5cc(cc(c5)OC)OC)C=C(S7)c5ccc(c6c7c(c(c8c6nc(c(n8)c6ccc(cc6)C)c6ccc(cc6)C)c6cccs6)nsn7)s5)s2)nsn4)s1)scc3)[CH]c1cc(cc(c1)OC)OC,-4.317904952,-3.170672328,1.147232624,0.375400855
C12=C(c3c([C]1SC(=C2)c1ccc(c2c4c(c(c5c2nc(c(n5)c2ccc(cc2)C)c2ccc(cc2)C)c2ccc(c5sc6[C]7C(=C(c6c5)[CH]c5cc(cc(c5)OC)OC)C=C(S7)c5ccc(c6c7c(c(c8c6nc(c(n8)c6ccc(cc6)C)c6ccc(cc6)C)c6ccc[se]6)nsn7)[se]5)[se]2)nsn4)[se]1)scc3)[CH]c1cc(cc(c1)OC)OC,-4.27491094,-3.232170092,1.042740848,0.279186243
C12=C(c3c([C]1SC(=C2)c1c(c(c(c2c4c(c(c5c2nc(c(n5)c2ccc(cc2)C)c2ccc(cc2)C)c2c(c(c(s2)c2sc5[C]6C(=C(c5c2)[CH]c2cc(cc(c2)OC)OC)C=C(S6)c2c(c(c(c5c6c(c(c7c5nc(c(n7)c5ccc(cc5)C)c5ccc(cc5)C)c5c(c(cs5)OC)OC)nsn6)s2)OC)OC)OC)OC)nsn4)s1)OC)OC)scc3)[CH]c1cc(cc(c1)OC)OC,-4.363075876,-2.957607066,1.40546881,0.589498246
C12=C(c3c([C]1SC(=C2)c1c(c(c(c2c4c(c(c5c2nc(c(n5)c2ccc(cc2)C)c2ccc(cc2)C)c2c(c(c(c5sc6[C]7C(=C(c6c5)[CH]c5cc(cc(c5)OC)OC)C=C(S7)c5c(c(c(c6c7c(c(c8c6nc(c(n8)c6ccc(cc6)C)c6ccc(cc6)C)c6c(c(c[se]6)OC)OC)nsn7)[se]5)OC)OC)[se]2)OC)OC)nsn4)[se]1)OC)OC)scc3)[CH]c1cc(cc(c1)OC)OC,-4.321442434,-3.006315472,1.315126962,0.431488449
C12=C(c3c([C]1SC(=C2)c1c(c(c(c2c4c(c(c5c2nc(c(n5)c2ccc(cc2)C)c2ccc(cc2)C)c2c(c(c(s2)c2sc5[C]6C(=C(c5c2)[CH]c2cc(cc(c2)OC)OC)C=C(S6)c2c(c(c(c5c6c(c(c7c5nc(c(n7)c5ccc(cc5)C)c5ccc(cc5)C)c5c(c(cs5)F)F)nsn6)s2)F)F)F)F)nsn4)s1)F)F)scc3)[CH]c1cc(cc(c1)OC)OC,-4.656142654,-3.243326766,1.412815888,0.575690909
C12=C(c3c([C]1SC(=C2)c1c(c(c(c2c4c(c(c5c2nc(c(n5)c2ccc(cc2)C)c2ccc(cc2)C)c2c(c(c(c5sc6[C]7C(=C(c6c5)[CH]c5cc(cc(c5)OC)OC)C=C(S7)c5c(c(c(c6c7c(c(c8c6nc(c(n8)c6ccc(cc6)C)c6ccc(cc6)C)c6c(c(c[se]6)F)F)nsn7)[se]5)F)F)[se]2)F)F)nsn4)[se]1)F)F)scc3)[CH]c1cc(cc(c1)OC)OC,-4.56199121,-3.321423484,1.240567726,0.431757842
